Job Title,Company,Location,URL,Source,Date Posted,Description
Lab Driver,Antech Diagnostics,België,https://www.adzuna.be/land/ad/5550601981?se=jA_lpFLq8BGV1vnB2mwquA&utm_medium=api&utm_source=99dc4fbe&v=8970D4F45A271CFA7382660F37619E76AAECD725,Adzuna (BE),2025-12-21T02:16:50Z,"We understand that the world we want tomorrow starts with how we do business today, and that's why we're inspired to make A Better World for Pets. Antech is comprised of a diverse team of individuals who are committed to each other's growth and development. Our culture is centered on our guiding philosophy, The Five Principles: Quality, Responsibility, Mutuality, Efficiency and Freedom. Today Antech is driving the future of pet health as part of Mars Science & Diagnostics, a family-owned compan…"
Driver CE,Start People,"Ninove, Aalst",https://www.adzuna.be/details/5560449760?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-12-30T21:25:23Z,"Description Our client, a transport company located in Ninove, is looking for a motivated CE driver to strengthen its team. Tasks and responsibilities You will be responsible for transporting goods within the Benelux region and will depart from the Ninove area. Overnight stays in the truck are an integral part of the position. Company Logistics - transport Profile You are able to drive a semi-trailer (3 axles). You are willing to stay overnight away from home on average two nights per week. You…"
Driver C,Asap.be,"Gavere, Gent",https://www.adzuna.be/details/5551863523?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-12-22T17:00:07Z,"Wat ga je doen? As a Driver C, you are responsible for national transport of refrigerated goods within Belgium. You follow fixed routes with multiple stops per day and ensure correct and timely deliveries to customers. Loading and unloading are part of the job. Wie ben jij? Safe and confident driving of a truck (Category C licence) Valid Code 95 and driver card Basic experience or knowledge of refrigerated transport Ability to load and unload palletised goods Correct handling and completion of …"
Reachtruck driver,Start People,"Bornem, Mechelen",https://www.adzuna.be/details/5526407946?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-12-03T19:51:52Z,"Description As a forklift/reach truck driver at DHL Supply Chain, your tasks will include the following: You will be responsible for picking up and placing pallets in height (up to 12m) in the warehouse. You will work with a computer system that indicates when to place or pick up a pallet. You will also be responsible for unloading/loading trucks and/or containers. Single deep or double deep reaching with camera is a plus. You are willing to perform warehouse tasks (not 100% lift or reach truck…"
driver night,H.Essers,België,https://www.adzuna.be/details/5473279838?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-10-31T20:30:58Z,"Additional Job Description Wij zijn op zoek naar een gemotiveerde vrachtwagenchauffeur CE met ADR voor nachtritten vanuit Genk. JOUW UITDAGINGEN Je staat in voor het uitvoeren van koppelritten vanuit Genk tijdens de nacht Je staat in voor het aan- en afkoppelen van trailers Je start tss 18u en 19u en werkt gemiddeld tussen 8 a 10 uur per nacht Een stipt en veilig vervoer van onze goederen, daar sta je borg voor! Hierbij houd jij steeds rekening met de geldende wegcode en de rij- en rusttijden. …"
Yard Driver,H.Essers,België,https://www.adzuna.be/details/5542569111?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-12-15T01:04:45Z,"Word de drijvende kracht achter ons team! JOUW UITDAGINGEN Je staat in voor de terberghandelingen op het terrein Een stipte en veilige verplaatsing van onze trailers, daar sta je borg voor Je zorgt er, als een goede huisvader, voor dat jouw Terberg steeds in onberispelijke staat is Naast jouw hoofdtaak als terreinchauffeur spring je bij in het magazijn indien er geen terbergwerk is JOUW TALENTEN Je beschikt over een rijbewijs CE Je kan je goed behelpen in het Nederlands, zowel schriftelijk als …"
Driver CE,H.Essers,België,https://www.adzuna.be/details/5552429851?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-12-23T01:08:41Z,"Ben jij klaar om jouw chauffeurskills in te zetten in de functie van Internationaal Chauffeur CE ? Ontdek hieronder de uitdagingen en beloningen die gepaard gaan met deze rol bij H.Essers. JOUW UITDAGINGEN Als gedreven vrachtwagenchauffeur CE ben JIJ het gezicht van H.Essers - op de baan en bij de klant. Wat doe je concreet? Je staat in voor intermodaal transport, waaronder ook high-value transport vanuit Lommel. De landen waar je vooral zal rijden zijn België, Nederland en Duitsland. Een stipt…"
Truck Driver,Brenntag,België,https://www.adzuna.be/details/5477410611?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-11-02T20:56:30Z,Chauffeur CE ADR Voor onze vestiging in Deerlijk zijn wij op zoek naar een Chauffeur CE ADR FUNCTIEOMSCHRIJVING Je bent als ADR Chauffeur al enige jaren actief in het transport van chemische producten en je bent toe aan een nieuwe uitdaging in een stabiel bedrijf? Dan is dit een geschikte functie voor jou! Als ADR Chauffeur ben je samen met je collega’s verantwoordelijk voor het transport van onze producten naar onze klanten in heel België. Je werkt erg nauwkeurig en precies. Veiligheid is een …
Shunter/Yard Driver,Nippon Express Europe GmbH,België,https://www.adzuna.be/details/5434189327?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-10-06T18:37:14Z,"The Nippon Express Group is one of the leading global logistics service providers whose Japanese corporation is headquartered in Tokyo. Our services range from air and ocean freight forwarding to cargo, removal services and warehouse operations. The company has numerous freight centers, warehouses and provides logistics services in over 45 countries on six continents with a global network of over 70,000 employees. The logistics focus is mainly on automotive and fashion industries, pharmaceutica…"
What drives you,Curewiki,België,https://www.adzuna.be/details/5445734542?utm_medium=api&utm_source=99dc4fbe,Adzuna (BE),2025-10-13T17:42:39Z,"Join Curewiki At Curewiki, we are constantly seeking passionate individuals who are eager to make a difference in the realm of health information. While we may not have a specific opening that fits your profile right now, we believe that talent can come from unexpected places. We encourage you to submit a proactive application so that we can consider you for future opportunities. About Curewiki Curewiki is committed to empower patients in access research. We have one focus: start from the patie…"
Driver Parttime,Lieferando,"Offenbach (Kreis), Hessen",https://www.adzuna.de/land/ad/5564400756?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=300C093499044FC30C083F0A947B17DEB46C3A3E,Adzuna (DE),2026-01-02T08:29:01Z,"Ready to get moving, Offenbach? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit …"
Driver Parttime,Lieferando,"Mannheim, Baden-Württemberg",https://www.adzuna.de/land/ad/5564400514?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=A070737E4503659DA41420E72E96E5AB2064093B,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Mannheim? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit y…"
Driver Parttime,Lieferando,"Fürth, Fürth (Kreis)",https://www.adzuna.de/land/ad/5564400596?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=36BDC3033E8828E853370684161F65B3B3C9C381,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Furth? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit your…"
Driver Weekend,Lieferando,"Bamberg, Bamberg (Kreis)",https://www.adzuna.de/land/ad/5564400560?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=F10D136E930D9EC2DF4B75703DA34E687755F595,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Bamberg? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Weekend for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit you…"
Driver Parttime,Lieferando,"München, München (Kreis)",https://www.adzuna.de/land/ad/5564400592?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=41D4B51E66A661A4D61DCD908BF3932A6F332017,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Munich? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit you…"
Driver Weekend,Lieferando,"Dresden, Sachsen",https://www.adzuna.de/land/ad/5564400666?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=73A28C0E48F44B9537296DAF65BF6F23CCE0ACED,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Dresden? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Weekend for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit you…"
